# GSV_1,GSV_2,GSV_3,nw,kw
0.286890,-0.094830,0.142050,1.340000,0.000058
0.288860,-0.096370,0.143430,1.340000,0.000058
0.290830,-0.097910,0.144780,1.340000,0.000059
0.292830,-0.099430,0.146090,1.340000,0.000060
0.294830,-0.100950,0.147370,1.340000,0.000061
0.296860,-0.102450,0.148620,1.340000,0.000062
0.298900,-0.103950,0.149850,1.340000,0.000063
0.300970,-0.105440,0.151040,1.340000,0.000064
0.303070,-0.106920,0.152200,1.340000,0.000065
0.305200,-0.108390,0.153340,1.340000,0.000066
0.307350,-0.109850,0.154440,1.340000,0.000067
0.309550,-0.111290,0.155520,1.340000,0.000068
0.311780,-0.112730,0.156580,1.340000,0.000069
0.314050,-0.114160,0.157610,1.340000,0.000071
0.316370,-0.115580,0.158620,1.340000,0.000072
0.318730,-0.116980,0.159600,1.340000,0.000073
0.321140,-0.118380,0.160560,1.340000,0.000074
0.323610,-0.119760,0.161500,1.340000,0.000075
0.326120,-0.121130,0.162420,1.340000,0.000076
0.328700,-0.122490,0.163310,1.340000,0.000077
0.331340,-0.123840,0.164190,1.340000,0.000079
0.334040,-0.125180,0.165050,1.340000,0.000081
0.336810,-0.126510,0.165890,1.340000,0.000082
0.339640,-0.127830,0.166700,1.340000,0.000083
0.342550,-0.129140,0.167500,1.340000,0.000084
0.345540,-0.130440,0.168270,1.340000,0.000086
0.348600,-0.131750,0.169020,1.340000,0.000087
0.351740,-0.133050,0.169750,1.340000,0.000088
0.354960,-0.134340,0.170450,1.340000,0.000089
0.358270,-0.135640,0.171130,1.340000,0.000091
0.361670,-0.136940,0.171770,1.340000,0.000092
0.365160,-0.138240,0.172400,1.340000,0.000093
0.368720,-0.139550,0.173000,1.340000,0.000094
0.372340,-0.140860,0.173580,1.340000,0.000096
0.376000,-0.142170,0.174160,1.340000,0.000097
0.379680,-0.143480,0.174730,1.340000,0.000098
0.383370,-0.144790,0.175300,1.340000,0.000099
0.387050,-0.146100,0.175880,1.340000,0.000101
0.390700,-0.147410,0.176480,1.340000,0.000102
0.394310,-0.148710,0.177090,1.340000,0.000103
0.397850,-0.150020,0.177730,1.340000,0.000104
0.401320,-0.151320,0.178400,1.340000,0.000105
0.404710,-0.152620,0.179110,1.340000,0.000106
0.408000,-0.153910,0.179850,1.340000,0.000107
0.411190,-0.155200,0.180630,1.340000,0.000108
0.414280,-0.156490,0.181450,1.340000,0.000109
0.417250,-0.157770,0.182320,1.340000,0.000110
0.420090,-0.159050,0.183240,1.340000,0.000111
0.422810,-0.160320,0.184200,1.340000,0.000112
0.425390,-0.161590,0.185220,1.340000,0.000113
0.427830,-0.162850,0.186290,1.340000,0.000114
0.430110,-0.164110,0.187420,1.340000,0.000115
0.432260,-0.165360,0.188600,1.340000,0.000116
0.434270,-0.166600,0.189830,1.340000,0.000117
0.436150,-0.167830,0.191100,1.340000,0.000118
0.437910,-0.169050,0.192400,1.340000,0.000119
0.439560,-0.170260,0.193730,1.340000,0.000120
0.441100,-0.171450,0.195080,1.340000,0.000121
0.442560,-0.172620,0.196450,1.340000,0.000122
0.443920,-0.173770,0.197820,1.340000,0.000123
0.445210,-0.174900,0.199200,1.340000,0.000124
0.446430,-0.176010,0.200580,1.340000,0.000125
0.447590,-0.177090,0.201950,1.340000,0.000126
0.448700,-0.178160,0.203310,1.340000,0.000127
0.449780,-0.179200,0.204650,1.340000,0.000128
0.450840,-0.180210,0.205980,1.340000,0.000129
0.451880,-0.181210,0.207280,1.340000,0.000130
0.452930,-0.182190,0.208550,1.340000,0.000132
0.453990,-0.183140,0.209790,1.340000,0.000133
0.455070,-0.184080,0.211000,1.330000,0.000134
0.456200,-0.184990,0.212160,1.330000,0.000135
0.457360,-0.185880,0.213280,1.330000,0.000136
0.458580,-0.186760,0.214350,1.330000,0.000138
0.459860,-0.187610,0.215370,1.330000,0.000140
0.461200,-0.188440,0.216340,1.330000,0.000141
0.462610,-0.189250,0.217260,1.330000,0.000142
0.464090,-0.190040,0.218140,1.330000,0.000144
0.465650,-0.190810,0.218960,1.330000,0.000146
0.467280,-0.191550,0.219720,1.330000,0.000148
0.469010,-0.192280,0.220440,1.330000,0.000150
0.470820,-0.192980,0.221090,1.330000,0.000152
0.472720,-0.193660,0.221700,1.330000,0.000154
0.474730,-0.194320,0.222240,1.330000,0.000157
0.476820,-0.194960,0.222730,1.330000,0.000160
0.479020,-0.195580,0.223170,1.330000,0.000162
0.481310,-0.196170,0.223550,1.330000,0.000164
0.483700,-0.196760,0.223880,1.330000,0.000167
0.486180,-0.197320,0.224150,1.330000,0.000170
0.488760,-0.197870,0.224370,1.330000,0.000174
0.491440,-0.198400,0.224540,1.330000,0.000178
0.494220,-0.198920,0.224660,1.330000,0.000181
0.497100,-0.199420,0.224730,1.330000,0.000185
0.500070,-0.199910,0.224760,1.330000,0.000189
0.503130,-0.200400,0.224750,1.330000,0.000193
0.506260,-0.200880,0.224710,1.330000,0.000198
0.509480,-0.201370,0.224640,1.330000,0.000203
0.512760,-0.201860,0.224560,1.330000,0.000209
0.516100,-0.202370,0.224460,1.330000,0.000216
0.519500,-0.202880,0.224360,1.330000,0.000223
0.522950,-0.203420,0.224270,1.330000,0.000230
0.526450,-0.203980,0.224180,1.330000,0.000238
0.529980,-0.204560,0.224110,1.330000,0.000246
0.533550,-0.205160,0.224040,1.330000,0.000255
0.537150,-0.205760,0.223970,1.330000,0.000264
0.540760,-0.206360,0.223900,1.330000,0.000273
0.544400,-0.206950,0.223820,1.330000,0.000282
0.548040,-0.207510,0.223710,1.330000,0.000291
0.551690,-0.208040,0.223570,1.330000,0.000300
0.555330,-0.208530,0.223400,1.330000,0.000310
0.558970,-0.208970,0.223180,1.330000,0.000319
0.562600,-0.209340,0.222910,1.330000,0.000329
0.566220,-0.209640,0.222580,1.330000,0.000339
0.569820,-0.209890,0.222200,1.330000,0.000349
0.573430,-0.210090,0.221790,1.330000,0.000359
0.577050,-0.210260,0.221340,1.330000,0.000368
0.580700,-0.210420,0.220870,1.330000,0.000377
0.584380,-0.210570,0.220380,1.330000,0.000386
0.588100,-0.210740,0.219890,1.330000,0.000396
0.591880,-0.210930,0.219400,1.330000,0.000404
0.595730,-0.211160,0.218920,1.330000,0.000407
0.599650,-0.211450,0.218470,1.330000,0.000409
0.603660,-0.211800,0.218040,1.330000,0.000414
0.607750,-0.212200,0.217630,1.330000,0.000416
0.611920,-0.212650,0.217210,1.330000,0.000411
0.616170,-0.213120,0.216780,1.330000,0.000409
0.620490,-0.213600,0.216330,1.330000,0.000418
0.624890,-0.214080,0.215820,1.330000,0.000427
0.629350,-0.214550,0.215260,1.330000,0.000427
0.633880,-0.214980,0.214610,1.330000,0.000423
0.638470,-0.215360,0.213880,1.330000,0.000424
0.643120,-0.215690,0.213040,1.330000,0.000429
0.647830,-0.215940,0.212080,1.330000,0.000437
0.652590,-0.216130,0.211010,1.330000,0.000445
0.657410,-0.216250,0.209840,1.330000,0.000451
0.662280,-0.216320,0.208580,1.330000,0.000456
0.667190,-0.216330,0.207250,1.330000,0.000463
0.672160,-0.216290,0.205840,1.330000,0.000470
0.677170,-0.216220,0.204380,1.330000,0.000475
0.682230,-0.216100,0.202870,1.330000,0.000480
0.687330,-0.215950,0.201330,1.330000,0.000488
0.692470,-0.215780,0.199760,1.330000,0.000495
0.697660,-0.215580,0.198180,1.330000,0.000498
0.702880,-0.215360,0.196570,1.330000,0.000503
0.708150,-0.215110,0.194940,1.330000,0.000514
0.713450,-0.214810,0.193270,1.330000,0.000527
0.718790,-0.214470,0.191550,1.330000,0.000536
0.724170,-0.214090,0.189790,1.330000,0.000544
0.729580,-0.213640,0.187960,1.330000,0.000553
0.735030,-0.213140,0.186060,1.330000,0.000564
0.740520,-0.212570,0.184090,1.330000,0.000576
0.746040,-0.211920,0.182040,1.330000,0.000588
0.751590,-0.211200,0.179890,1.330000,0.000600
0.757170,-0.210400,0.177660,1.330000,0.000611
0.762770,-0.209530,0.175350,1.330000,0.000622
0.768380,-0.208590,0.172960,1.330000,0.000631
